review,clean_review,bank,rating,sentiment
"I opened my salary account with Standard Chartered bank for almost 2 years ago. There is only branch available in Pune hence i need to travel a lot for depositing the cash and other request. ATM facility also less in my city.  Earlier they were not charging any additional for other ATM withdrawal but now after completion of 10 transaction from other ATM, they are charging Rs. 25 for per transactions.  If they are improving the ATM facility, it would be fine. They don't provide any offers to the customer.",i opened my salary account with standard chartered bank for almost 2 years ago there is only branch available in pune hence i need to travel a lot for depositing the cash and other request atm facility also less in my city earlier they were not charging any additional for other atm withdrawal but now after completion of 10 transaction from other atm they are charging rs 25 for per transactions if they are improving the atm facility it would be fine they dont provide any offers to the customer,Unknown,5.0,Satisfied
I opened my savings account from CANARA bank and I have been using for last 6 years. Chosen this account in my home town because the branch is located to nearby my place. Executive response was good and I need to hold a minimum balance of Rs. 1000. Their app facility is convenient to use. I could find branches and ATM in all the places.,i opened my savings account from canara bank and i have been using for last 6 years chosen this account in my home town because the branch is located to nearby my place executive response was good and i need to hold a minimum balance of rs 1000 their app facility is convenient to use i could find branches and atm in all the places,Canara Bank,4.0,Satisfied
"My company was offered me 5 banks but I have chosen standard Chartered bank and its a zero balance account to use. There is no ATM withdrawal charges even I do  from other bank. I have selected the same. In net banking facility, some features are not available like downloading the statement through PDF options.",my company was offered me 5 banks but i have chosen standard chartered bank and its a zero balance account to use there is no atm withdrawal charges even i do from other bank i have selected the same in net banking facility some features are not available like downloading the statement through pdf options,Unknown,4.0,Satisfied
"Before 1.5 years, i have opened the salary account with State Bank of India. Bank account is convenient to use. They have given me a zero balance account. I went to their branch for getting a passbook and to get a ATM card as well and the response is okay. We have a branch which is a cashless one so branch was not crowded.",before 15 years i have opened the salary account with state bank of india bank account is convenient to use they have given me a zero balance account i went to their branch for getting a passbook and to get a atm card as well and the response is okay we have a branch which is a cashless one so branch was not crowded,SBI,5.0,Satisfied
Its going to be 5 years since I'm using the savings account from Kotak Mahindra bank because i like their service and my salary also getting credited to this account. I'm fine with the net banking and mobile app facility. I just visited the branch once for changing my mobile number and their service is very good in their branch also.,its going to be 5 years since im using the savings account from kotak mahindra bank because i like their service and my salary also getting credited to this account im fine with the net banking and mobile app facility i just visited the branch once for changing my mobile number and their service is very good in their branch also,Kotak,5.0,Satisfied
"When compared to earlier, now SBI is providing good service. I have been holding this account for more than 3-4 years and which have opened for my personal use. No need to maintain a minimum balance account. The branch service is fine and near from my home to reach.",when compared to earlier now sbi is providing good service i have been holding this account for more than 34 years and which have opened for my personal use no need to maintain a minimum balance account the branch service is fine and near from my home to reach,SBI,5.0,Satisfied
Using my savings account with HDFC bank for almost 5 years. I am maintaining a minimum balance of Rs. 2500 which is mandatory even though its a salary account. Sometimes I'm facing a issue like they are charging me a high amount if I'm not maintaining the balance. I can find the branches in all the places.,using my savings account with hdfc bank for almost 5 years i am maintaining a minimum balance of rs 2500 which is mandatory even though its a salary account sometimes im facing a issue like they are charging me a high amount if im not maintaining the balance i can find the branches in all the places,HDFC Bank,5.0,Satisfied
Canara Bank before I was using as salary account but after shifting my company cannot use this account for further and I am yet to  convert into saving account. I am holding account  for past 10 years. There is SMS charge applicable of 12 rupees which is nominal. ATM charge is 22 rupees. I am using both mobile app and net banking are user friendly to access.,canara bank before i was using as salary account but after shifting my company cannot use this account for further and i am yet to convert into saving account i am holding account for past 10 years there is sms charge applicable of 12 rupees which is nominal atm charge is 22 rupees i am using both mobile app and net banking are user friendly to access,Canara Bank,5.0,Satisfied
I am holding salary account with HDFC past 1 year. Since its salary account  no need to maintain a minimum balance amount. I can do transaction of  5 times if exceed ATM  charges of 22 rupees. Mobile app is not user friendly and I am facing server issue.  The customer service is not good in response.,i am holding salary account with hdfc past 1 year since its salary account no need to maintain a minimum balance amount i can do transaction of 5 times if exceed atm charges of 22 rupees mobile app is not user friendly and i am facing server issue the customer service is not good in response,HDFC Bank,5.0,Satisfied
"I have been using an account as saving in DENA bank for past 7 years. Need to maintain a minimum amount of  4- 5K  if not some charges are applicable. Many times I visit branches , their service is good, I am not using mobile app  and net banking service yet. I get offers message often.",i have been using an account as saving in dena bank for past 7 years need to maintain a minimum amount of 4 5k if not some charges are applicable many times i visit branches their service is good i am not using mobile app and net banking service yet i get offers message often,Unknown,3.0,Average
I am holding a savings account  for my personal need in HDFC  bank for more than 4 years. There is no hidden charges in this bank. Need to maintain a minimum balance amount of 10K in account if not charges are applicable of 800 rupees plus GST. I am using net banking and it is user friendly to access.,i am holding a savings account for my personal need in hdfc bank for more than 4 years there is no hidden charges in this bank need to maintain a minimum balance amount of 10k in account if not charges are applicable of 800 rupees plus gst i am using net banking and it is user friendly to access,HDFC Bank,3.0,Average
I am holding saving account from CORPORATION BANK  past  9 years. Need to maintain a minimum balance of 500 rupees. If not some charge would be applicable. ATM and branches service are good. I do get alert message on time for each transaction. But there are not sending any offers message.,i am holding saving account from corporation bank past 9 years need to maintain a minimum balance of 500 rupees if not some charge would be applicable atm and branches service are good i do get alert message on time for each transaction but there are not sending any offers message,Unknown,5.0,Satisfied
"Recently I opened a saving account from KOTAK bank on last December and I need to maintain a minimum amount of 10K. It is 811 online saving account with nominal charges of 5%, Atm and branch's are near from my home. So far I got 2 -3 times offer messages from their end.",recently i opened a saving account from kotak bank on last december and i need to maintain a minimum amount of 10k it is 811 online saving account with nominal charges of 5 atm and branchs are near from my home so far i got 2 3 times offer messages from their end,Kotak,4.0,Satisfied
My savings account was chosen in Axis bank and i have opened the account in the year of 2013. It was my previous company salary account after that i have converted into savings account. Its a zero balance account to use. Branch response was good and the staffs are very helpful. I find the branches and ATMs in almost all the places.,my savings account was chosen in axis bank and i have opened the account in the year of 2013 it was my previous company salary account after that i have converted into savings account its a zero balance account to use branch response was good and the staffs are very helpful i find the branches and atms in almost all the places,Axis Bank,5.0,Satisfied
"10 years ago, i have opened the salary account from HDFC and it was offered by my company. I don't need to maintain any minimum balance. Its very good use the net banking facility. I have visited their branch and the response is good. The branch is not that much crowded. Only drawback is I can do only limited transaction from other bank ATM.",10 years ago i have opened the salary account from hdfc and it was offered by my company i dont need to maintain any minimum balance its very good use the net banking facility i have visited their branch and the response is good the branch is not that much crowded only drawback is i can do only limited transaction from other bank atm,HDFC Bank,4.0,Satisfied
"I have opened the salary account about 6 years ago. I have never faced any issues till now. If i have any questions, its a long way of connecting with them and sometimes, they used to hung up the call while customer is talking. Its fine to use the net banking facility and they don't charge me any hidden charges. The transactions are smooth.",i have opened the salary account about 6 years ago i have never faced any issues till now if i have any questions its a long way of connecting with them and sometimes they used to hung up the call while customer is talking its fine to use the net banking facility and they dont charge me any hidden charges the transactions are smooth,HDFC Bank,4.0,Satisfied
"My savings account was opened in SBI, last 5 years ago because Prime Minister Modi asked every citizen from India needs to open an account in State Bank of India. When i was opened the account, there is no minimum balance is to be maintained but after 2 years, they asked me to hold a minimum balance of Rs. 5000 but they don't deduct any hidden charges.",my savings account was opened in sbi last 5 years ago because prime minister modi asked every citizen from india needs to open an account in state bank of india when i was opened the account there is no minimum balance is to be maintained but after 2 years they asked me to hold a minimum balance of rs 5000 but they dont deduct any hidden charges,SBI,4.0,Satisfied
I maintain my salary  account from HDFC past 9-10 months.  I got an option to open account from my company. The branch is 2KM distance from my home. Atm service is good. Really good at their own place. I am getting good  loans and card offers from their end.,i maintain my salary account from hdfc past 910 months i got an option to open account from my company the branch is 2km distance from my home atm service is good really good at their own place i am getting good loans and card offers from their end,HDFC Bank,5.0,Satisfied
"I am having my saving account for past 9-10 years. Since  most of my family members opened an account here and service is good so I preferred this bank. I need to maintain minimum amount of  3K, if not minimum charge applicable of 15 rupees for 3 months once.  The branch is quite far from my place. I am not getting any offers so far.",i am having my saving account for past 910 years since most of my family members opened an account here and service is good so i preferred this bank i need to maintain minimum amount of 3k if not minimum charge applicable of 15 rupees for 3 months once the branch is quite far from my place i am not getting any offers so far,SBI,5.0,Satisfied
IDBI bank account benefits are not good hence i rarely use this account now. My savings account was opened in the year of 2012. Its a zero balance account to use. They don't have any mobile app facility. Branch response was not that much good when i visit the branch to open the account and lot of hassle was there.,idbi bank account benefits are not good hence i rarely use this account now my savings account was opened in the year of 2012 its a zero balance account to use they dont have any mobile app facility branch response was not that much good when i visit the branch to open the account and lot of hassle was there,IDBI,2.0,Dissatisfied
"DBS is awesome bank and i never had any complaints from this bank. They have done a paperless account opening. Based on the benefits, i have selected this account because the RD interest rates are good. In fact, i can make the payment directly to the shops and their app is very friendly to use. Every month i used to get Rs. 750 if i do maintain a balance of Rs. 10000 and they have their terms and conditions to get a cashbacks.",dbs is awesome bank and i never had any complaints from this bank they have done a paperless account opening based on the benefits i have selected this account because the rd interest rates are good in fact i can make the payment directly to the shops and their app is very friendly to use every month i used to get rs 750 if i do maintain a balance of rs 10000 and they have their terms and conditions to get a cashbacks,Unknown,5.0,Satisfied
"When i was doing my studies, i have opened the savings account from State Bank of India. From my college itself, they have opened this account because branch is available on my campus. I need to maintain a minimum balance of Rs. 2500. The branch response was good when i was visited 2 years before.",when i was doing my studies i have opened the savings account from state bank of india from my college itself they have opened this account because branch is available on my campus i need to maintain a minimum balance of rs 2500 the branch response was good when i was visited 2 years before,SBI,5.0,Satisfied
"When I was working in previous company, they had opened a salary account from HDFC Bank and I maintain it for the past 1 year. But suddenly I changed to other company so opened other account for salary. I am yet to convert HDFC account into savings. As of now, this is in active and I didn't come across any hidden charge from this bank.",when i was working in previous company they had opened a salary account from hdfc bank and i maintain it for the past 1 year but suddenly i changed to other company so opened other account for salary i am yet to convert hdfc account into savings as of now this is in active and i didnt come across any hidden charge from this bank,HDFC Bank,5.0,Satisfied
AXIS has provided a chance to open a salary account and I maintain for past 6 months. There is no hidden charges in this bank. It is a  zero balance account. I use to get an alert message on time  from bank whenever I do a transactions. There is no proper follow up because few months before I was applied a loan but no update from their end for further.,axis has provided a chance to open a salary account and i maintain for past 6 months there is no hidden charges in this bank it is a zero balance account i use to get an alert message on time from bank whenever i do a transactions there is no proper follow up because few months before i was applied a loan but no update from their end for further,Axis Bank,4.0,Satisfied
"IOB mobile app is not much user friendly to access and its not up to the mark. I am holding this account for more than 5 years. Before it was salary account since changed to other company, so converted this account in to saving. ATM charges applicable of 20 rupees on 6 months once and transaction charge is applicable.",iob mobile app is not much user friendly to access and its not up to the mark i am holding this account for more than 5 years before it was salary account since changed to other company so converted this account in to saving atm charges applicable of 20 rupees on 6 months once and transaction charge is applicable,Unknown,3.5,Dissatisfied
I have a salary account with AXIS bank for more than 3 years. There is no hidden charges in this bank. It is a  zero balance account. It is easy to access mobile app and net banking. I use to get an alert message and mail  from bank whenever I do a transactions. I use to get card offers only not for any loans.,i have a salary account with axis bank for more than 3 years there is no hidden charges in this bank it is a zero balance account it is easy to access mobile app and net banking i use to get an alert message and mail from bank whenever i do a transactions i use to get card offers only not for any loans,Axis Bank,5.0,Satisfied
"On my personal need, I opened a saving account from INDIAN Bank which am holding it for past 10 years. Banker  has suggested to open an account and also branch was near to my home. Need to maintain minimum of 1000 rupees if not charges are applicable of 100 to 120 rupees. I am using only net banking service.",on my personal need i opened a saving account from indian bank which am holding it for past 10 years banker has suggested to open an account and also branch was near to my home need to maintain minimum of 1000 rupees if not charges are applicable of 100 to 120 rupees i am using only net banking service,Unknown,5.0,Satisfied
I am holding a salary account  in SBI for more than 14 years. There is no hidden charges in this bank. It is a  zero balance account. I am using net banking and it is user friendly to access. I use to get an alert messages from bank whenever I do a transactions. I am not getting much offers from this bank.,i am holding a salary account in sbi for more than 14 years there is no hidden charges in this bank it is a zero balance account i am using net banking and it is user friendly to access i use to get an alert messages from bank whenever i do a transactions i am not getting much offers from this bank,SBI,5.0,Satisfied
I have been using the savings account from Syndicate bank  and i opened this account 3 years ago based on my friend's recommendation. I don't use their net banking facility and mobile app. I never visited their branch till now nor contacting the customer care. I need to hold a minimum balance of Rs. 1000. Bank transactions are smooth.,i have been using the savings account from syndicate bank and i opened this account 3 years ago based on my friends recommendation i dont use their net banking facility and mobile app i never visited their branch till now nor contacting the customer care i need to hold a minimum balance of rs 1000 bank transactions are smooth,Unknown,5.0,Satisfied
Axis bank sales executive came to my company and opened a salary account for me. Its been 2 years and am using as zero balance account. Their net banking facility is best and its easy to access the mobile app too. I get a notification immediately whenever I'm doing the transaction. I never visited their branch till now but their call centre response is good.,axis bank sales executive came to my company and opened a salary account for me its been 2 years and am using as zero balance account their net banking facility is best and its easy to access the mobile app too i get a notification immediately whenever im doing the transaction i never visited their branch till now but their call centre response is good,Axis Bank,5.0,Satisfied
"4 years ago, i have opened the salary account from Standard Chartered bank because from my company side they have provided this account. Its a zero balance account to use. They have provided me a app which is briefly mentioned everything. In the branch, the response is good. ATM facility is not available in all the places but they have given me a facility of unlimited withdrawals in all the bank ATM without any additional charges.",4 years ago i have opened the salary account from standard chartered bank because from my company side they have provided this account its a zero balance account to use they have provided me a app which is briefly mentioned everything in the branch the response is good atm facility is not available in all the places but they have given me a facility of unlimited withdrawals in all the bank atm without any additional charges,Unknown,5.0,Satisfied
"When I was working in previous company , they told to open a salary account with ANDHRA bank and I maintain an account for the past 3 years. Since I changed to other company this account as converted now as saving account.  Its zero balance account. ATM charges are applicable. But there is no much ATM is avail in my city.",when i was working in previous company they told to open a salary account with andhra bank and i maintain an account for the past 3 years since i changed to other company this account as converted now as saving account its zero balance account atm charges are applicable but there is no much atm is avail in my city,Unknown,5.0,Satisfied
I am holding a salary account in HDFC for more than one year. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and it is user friendly to access. On quarterly basis charges are applicable of 30 rupees for SMS charges and ATM charge is applicable of if I use more than 5 times in a month.,i am holding a salary account in hdfc for more than one year there is no hidden charges in this bank it is a zero balance account i am using mobile app and it is user friendly to access on quarterly basis charges are applicable of 30 rupees for sms charges and atm charge is applicable of if i use more than 5 times in a month,HDFC Bank,5.0,Satisfied
"Almost 7 years, i have been using the salary account from Indian Overseas Bank and i have chosen this bank because it will not be much crowded as other banks. They don't deduct any kind of hidden charges. I need to maintain a minimum balance of Rs. 1000. Net banking facility is not that much advanced which can be improved.",almost 7 years i have been using the salary account from indian overseas bank and i have chosen this bank because it will not be much crowded as other banks they dont deduct any kind of hidden charges i need to maintain a minimum balance of rs 1000 net banking facility is not that much advanced which can be improved,Unknown,2.0,Dissatisfied
My company has given option to maintain my salary account in HDFC bank. I have been holding this account for 10 years. There is no hidden charges. I can do minimum transaction amount of 5K which is low and need to maintain minimum of  150 rupees. Atm and branches are near. Mobile app  and net banking are user friendly to access . I get alert message from bank whenever I do a transaction.,my company has given option to maintain my salary account in hdfc bank i have been holding this account for 10 years there is no hidden charges i can do minimum transaction amount of 5k which is low and need to maintain minimum of 150 rupees atm and branches are near mobile app and net banking are user friendly to access i get alert message from bank whenever i do a transaction,HDFC Bank,5.0,Satisfied
"I have been using savings account with KARNATAKA Bank since 2011. This is only savings account,  so no need to maintain minimum balance. Whenever I do cash withdrawal, shopping have been receiving alert message. Customer service and responsiveness was good.",i have been using savings account with karnataka bank since 2011 this is only savings account so no need to maintain minimum balance whenever i do cash withdrawal shopping have been receiving alert message customer service and responsiveness was good,Unknown,5.0,Satisfied
"From INDIAN OVERSEAS BANK, i am using savings account more than 15 years. There is card charges, i am maintaining Rs. 1000 in this bank.  I am using mobile app and net banking.  They are good in alert messages whenever I do a transactions. ATMs and branches are near to my residence.",from indian overseas bank i am using savings account more than 15 years there is card charges i am maintaining rs 1000 in this bank i am using mobile app and net banking they are good in alert messages whenever i do a transactions atms and branches are near to my residence,Unknown,5.0,Satisfied
"Recently i have taken PNB savings account, they told me to maintain a balance of Rs. 1500 even though I'm maintaining minimum balance, they are deducting lots of hidden charges . ATM and branch is near to my home, Their customer service is giving proper response.",recently i have taken pnb savings account they told me to maintain a balance of rs 1500 even though im maintaining minimum balance they are deducting lots of hidden charges atm and branch is near to my home their customer service is giving proper response,Punjab National Bank,5.0,Satisfied
I am using Standard Chartered Bank salary account   for 1.5 years .This account  is used much frequently and also  using net banking  service as well as  mobile banking service and credit card  bill payment and money transfer .customer  service is also good and  banking service was comfortable .,i am using standard chartered bank salary account for 15 years this account is used much frequently and also using net banking service as well as mobile banking service and credit card bill payment and money transfer customer service is also good and banking service was comfortable,Unknown,5.0,Satisfied
"I am using SBI salary account which ,i am having more than 10 years .The transactions are done frequently and using net banking and mobile banking service it is very much user friendly.I am using both the service for credit card bill payment.Each transaction is safe and secure and ,i am satisfied with the service.",i am using sbi salary account which i am having more than 10 years the transactions are done frequently and using net banking and mobile banking service it is very much user friendlyi am using both the service for credit card bill paymenteach transaction is safe and secure and i am satisfied with the service,SBI,4.0,Satisfied
My company gave me a salary account from HDFC and i have opened the account in the year of May 2015. Its a zero balance account to use. Its good to use the Internet banking and mobile app facility. I have visited their branch once because of changing my net banking pin and the response is superb. They do not take any extra charges from customer's account without customer's knowledge.,my company gave me a salary account from hdfc and i have opened the account in the year of may 2015 its a zero balance account to use its good to use the internet banking and mobile app facility i have visited their branch once because of changing my net banking pin and the response is superb they do not take any extra charges from customers account without customers knowledge,HDFC Bank,4.5,Satisfied
I am holding my salary account with BANK OF BARODA on 7 years. Though its salary account I need to maintain a amount of 3K as minimum. There is no hidden charges and  service is good. Mobile app is user friendly to access. I get alert message on time for the transaction. I use to get offers for loans and credit card.,i am holding my salary account with bank of baroda on 7 years though its salary account i need to maintain a amount of 3k as minimum there is no hidden charges and service is good mobile app is user friendly to access i get alert message on time for the transaction i use to get offers for loans and credit card,Unknown,5.0,Satisfied
I am using HDFC savings account almost 3 years before. I need to maintain a minimum balance of Rs. 5000. The branch is nearby  my office hence I chosen this bank. Staff response is really good. They don't deduct any hidden charges but they will charge for non balance maintenance like if less than 50% from the required balance they charge Rs. 500.,i am using hdfc savings account almost 3 years before i need to maintain a minimum balance of rs 5000 the branch is nearby my office hence i chosen this bank staff response is really good they dont deduct any hidden charges but they will charge for non balance maintenance like if less than 50 from the required balance they charge rs 500,HDFC Bank,5.0,Satisfied
I have opened DBS bank salary account on 3 years ago. Its a zero balance account to use. Its good to use a Internet banking and mobile app facility. I will do most of the transactions through app since its very comfortable to use. There is no call support in this bank. There is no charges for the fund transfer.,i have opened dbs bank salary account on 3 years ago its a zero balance account to use its good to use a internet banking and mobile app facility i will do most of the transactions through app since its very comfortable to use there is no call support in this bank there is no charges for the fund transfer,Unknown,5.0,Satisfied
"I opened my savings account from Kotak Mahindra bank its because of the maintenance of zero balance. For my savings purpose, I have chosen this account but I'm not doing much transaction from this account. I am not using their online banking facility and mobile app. I availed the account on last 5 months back.",i opened my savings account from kotak mahindra bank its because of the maintenance of zero balance for my savings purpose i have chosen this account but im not doing much transaction from this account i am not using their online banking facility and mobile app i availed the account on last 5 months back,Kotak,4.0,Satisfied
I am using my salary account from HDFC bank for almost 2 years. Its a zero balance account to use. I have experienced of their net banking facility which is good to use but i have not tried mobile app. I'm receiving an OTP immediately whenever I'm doing an online transaction. They don't deduct any kind of additional charges.,i am using my salary account from hdfc bank for almost 2 years its a zero balance account to use i have experienced of their net banking facility which is good to use but i have not tried mobile app im receiving an otp immediately whenever im doing an online transaction they dont deduct any kind of additional charges,HDFC Bank,4.0,Satisfied
Opened my salary account with HDFC in the year of 2012 because my company has provided this account to me. Its a zero balance account to have. Its excellent to use the net banking and mobile app facility. Some time i went to the HDFC branch for converting my old cash to new one and for a transaction issue but response was not that good.,opened my salary account with hdfc in the year of 2012 because my company has provided this account to me its a zero balance account to have its excellent to use the net banking and mobile app facility some time i went to the hdfc branch for converting my old cash to new one and for a transaction issue but response was not that good,HDFC Bank,5.0,Satisfied
I am using the salary account from Axis bank for more than 2 years because my company has provided me this account. I don't need to hold any minimum balance. I'm not using an Internet banking and mobile app facility because of the safe and security. They have not taken any additional charges from my account.,i am using the salary account from axis bank for more than 2 years because my company has provided me this account i dont need to hold any minimum balance im not using an internet banking and mobile app facility because of the safe and security they have not taken any additional charges from my account,Axis Bank,3.0,Average
"I have HDFC Bank salary account which i am  using for the past 5 years from 2015 onward ,net banking mostly use  for money transfer and  credit card bill payment as well. The transaction  is very safe and banking service is much comfortable  pretty good .",i have hdfc bank salary account which i am using for the past 5 years from 2015 onward net banking mostly use for money transfer and credit card bill payment as well the transaction is very safe and banking service is much comfortable pretty good,HDFC Bank,5.0,Satisfied
"I am using the salary account with State Bank of India more than 10 year. But there is no proper response from the call centre people and not good response from branch also. Regarding some transaction detail, I called the banker but they asking the customer to wait for a long time. They don't deduct any hidden charges.",i am using the salary account with state bank of india more than 10 year but there is no proper response from the call centre people and not good response from branch also regarding some transaction detail i called the banker but they asking the customer to wait for a long time they dont deduct any hidden charges,SBI,4.0,Satisfied
SBI gives attractive interest rate to the customer so that i have chosen the savings account from SBI. I'm using this account for last 10 years. Its very convenient to use the net banking facility and i've downloaded the YONO app in my phone. I'm not maintaining any minimum balance on this account but they are not charging any amount for that. They will deduct only Rs. 150 for the ATM debit card on a yearly basis.,sbi gives attractive interest rate to the customer so that i have chosen the savings account from sbi im using this account for last 10 years its very convenient to use the net banking facility and ive downloaded the yono app in my phone im not maintaining any minimum balance on this account but they are not charging any amount for that they will deduct only rs 150 for the atm debit card on a yearly basis,SBI,4.0,Satisfied
I am holding a saving account  with DEVELOPMENT CREDIT BANK for more than 9 years. Since my friend has suggested so I opened an account with them. There is no hidden charges in this bank. It is a  zero balance account. I am using mobile app and net banking both are user friendly to access. If I do transaction from other ATM there will be no charge. I can transact up to 1L,i am holding a saving account with development credit bank for more than 9 years since my friend has suggested so i opened an account with them there is no hidden charges in this bank it is a zero balance account i am using mobile app and net banking both are user friendly to access if i do transaction from other atm there will be no charge i can transact up to 1l,Unknown,5.0,Satisfied
"I am using Citi bank salary account  for the past 3 years and their net banking is used for NEFT transfer and mobile banking for UPI payments. If have any query, I will contact customer service they are  giving good response and rectifying the issues.  Banking  service was much  satisfied. There was no fraudulent transaction happened so far.",i am using citi bank salary account for the past 3 years and their net banking is used for neft transfer and mobile banking for upi payments if have any query i will contact customer service they are giving good response and rectifying the issues banking service was much satisfied there was no fraudulent transaction happened so far,Citibank,4.5,Satisfied
"From State Bank of India, i am having a savings account. Here, I am maintaining a minimum balance of Rs.3,000 every month. ATM service is good, whenever i withdraw cash, am getting alert messages. Customer service and responsiveness was good.",from state bank of india i am having a savings account here i am maintaining a minimum balance of rs3000 every month atm service is good whenever i withdraw cash am getting alert messages customer service and responsiveness was good,SBI,5.0,Satisfied
"To apply for a car loan I have opened saving account in SBI on 4 years back. I use this account only to do EMI payment for the loan. Need to maintain a minimum balance of 3K if not some charge is applicable. Since its National bank, this account can be used all over India and useful too.",to apply for a car loan i have opened saving account in sbi on 4 years back i use this account only to do emi payment for the loan need to maintain a minimum balance of 3k if not some charge is applicable since its national bank this account can be used all over india and useful too,SBI,5.0,Satisfied
I have SBI salary account which is very user friendly. Each transaction is very safe and secured on banking service. Need to maintain minimum balance of Rs.  500 or 1000. Customer service and responsiveness was good. Mostly i will go to the branch directly for any issues.,i have sbi salary account which is very user friendly each transaction is very safe and secured on banking service need to maintain minimum balance of rs 500 or 1000 customer service and responsiveness was good mostly i will go to the branch directly for any issues,SBI,5.0,Satisfied
"I am holding a salary account with CITI Bank for past 2.5  years. There is no hidden charges in this bank. I use to get an alert messages from bank whenever I do a transactions. Mostly I use for online transactions, i opted whatsapp also and getting messages.",i am holding a salary account with citi bank for past 25 years there is no hidden charges in this bank i use to get an alert messages from bank whenever i do a transactions mostly i use for online transactions i opted whatsapp also and getting messages,Citibank,5.0,Satisfied
I have Axis Bank salary account for the past 8 years .I am using net banking service as well as mobile banking service it is very user friendly .I am mostly using both the service for online payment and money transfer and for credit card bill payment. Each transaction is safe and secured also service is good and getting good response .,i have axis bank salary account for the past 8 years i am using net banking service as well as mobile banking service it is very user friendly i am mostly using both the service for online payment and money transfer and for credit card bill payment each transaction is safe and secured also service is good and getting good response,Axis Bank,4.0,Satisfied
"Digi bank savings account is really good to use. Since I'm not able to maintain many account, i close this account. Its because of the friend's referral, i have opened this account and they have provided me a zero balance account. Its totally non branch account and they do have a less number of branch's in my city.",digi bank savings account is really good to use since im not able to maintain many account i close this account its because of the friends referral i have opened this account and they have provided me a zero balance account its totally non branch account and they do have a less number of branchs in my city,Unknown,4.5,Satisfied
There is a lots of consultation of charges so i have closed the Axis bank savings account. They are charging for non balance maintenance if am not maintaining 1K from my savings account. Banking service has been good. Staffs were very helpful when i went to the branch for closing my savings account.,there is a lots of consultation of charges so i have closed the axis bank savings account they are charging for non balance maintenance if am not maintaining 1k from my savings account banking service has been good staffs were very helpful when i went to the branch for closing my savings account,Axis Bank,4.0,Satisfied
"My salary account is with State Bank of India, they don't take any hidden charges. Earlier it was a salary account and after that i have converted into savings account hence now i don't need to maintain any minimum balance. I use their Internet banking which is fair to use. There is no additional charges for other ATM withdrawal because of salary account, i can do unlimited withdrawal.",my salary account is with state bank of india they dont take any hidden charges earlier it was a salary account and after that i have converted into savings account hence now i dont need to maintain any minimum balance i use their internet banking which is fair to use there is no additional charges for other atm withdrawal because of salary account i can do unlimited withdrawal,SBI,5.0,Satisfied
"I am using Punjab National Bank  salary account for the past 6 years only ,I will be getting message alert as well as email alert for all transactions . Banking service  is very good  and customer service is much satisfied as well. Each and every transaction is done frequently and there was  no fraudulent transactions happened so far .",i am using punjab national bank salary account for the past 6 years only i will be getting message alert as well as email alert for all transactions banking service is very good and customer service is much satisfied as well each and every transaction is done frequently and there was no fraudulent transactions happened so far,Punjab National Bank,5.0,Satisfied
I am holding savings account from KOTAK Bank. This is a salary comes savings so no need to maintain minimum balance. Kotak bank has very good application and there is a no debit card charges. Customer service and response they are giving proper reply.,i am holding savings account from kotak bank this is a salary comes savings so no need to maintain minimum balance kotak bank has very good application and there is a no debit card charges customer service and response they are giving proper reply,Kotak,5.0,Satisfied
"From SBI, i am using savings account more than 20 years . There is no requirement for minimum balance when i was in college my father opened this account for me and i am still using this account. Every shopping, cash withdrawal i am getting messages instantly and atm service is near to my residence.",from sbi i am using savings account more than 20 years there is no requirement for minimum balance when i was in college my father opened this account for me and i am still using this account every shopping cash withdrawal i am getting messages instantly and atm service is near to my residence,SBI,5.0,Satisfied
I am using Axis bank Saving  account  for the past 2 years This net banking  service as well as mobile app  is used for money transfer upto 2lakhs during emergency purpose and also can track all the transaction. It  is very safe and secure  and fraudulent transactions are not happened . The customer service  is also good and getting good  response .,i am using axis bank saving account for the past 2 years this net banking service as well as mobile app is used for money transfer upto 2lakhs during emergency purpose and also can track all the transaction it is very safe and secure and fraudulent transactions are not happened the customer service is also good and getting good response,Axis Bank,4.0,Satisfied
My salary account was opened 4 years before and I have selected the Axis bank because they are treating the customer in a satisfactory way. Their net banking was good and the website is easy to understand and customer friendly. They don't deduct any kind of hidden charges. Usually i am visiting the bank and the staffs are very responsive and well mannered.,my salary account was opened 4 years before and i have selected the axis bank because they are treating the customer in a satisfactory way their net banking was good and the website is easy to understand and customer friendly they dont deduct any kind of hidden charges usually i am visiting the bank and the staffs are very responsive and well mannered,Axis Bank,5.0,Satisfied
I have been holding my savings account with State Bank of India for almost 12 years. Its not required to maintain any minimum balance. Their mobile app facility is really good. I have visited their branch sometimes to give a request for changing of my address and the response is good. Branch is not that much crowded.,i have been holding my savings account with state bank of india for almost 12 years its not required to maintain any minimum balance their mobile app facility is really good i have visited their branch sometimes to give a request for changing of my address and the response is good branch is not that much crowded,SBI,5.0,Satisfied
I have chosen the savings account from Kotak Mahindra bank and i am using this account from last 3 years. There is a no requirement for minimum balance. ATM services are near to my residence. Whenever i do shopping i will be getting alert messages.,i have chosen the savings account from kotak mahindra bank and i am using this account from last 3 years there is a no requirement for minimum balance atm services are near to my residence whenever i do shopping i will be getting alert messages,Kotak,5.0,Satisfied
